,,,,,,
,,,,,,
Traoré Ismael,Def. Cen.,Angers,"5,1",3,14,76 %
,,,,,,
Limbombe Anthony,Mil. Off,Nantes,"5,2",1,14,32 %
,,,,,,
Monconduit Thomas,Mil. Def.,Amiens,5,0,14,84 %
,,,,,,
Dupé Maxime,Gardien,Nantes,"4,9",0,14,26 %
,,,,,,
Bernat Juan,Def. Lat.,Paris,"5,2",1,14,55 %
,,,,,,
Abdelhamid Yunis,Def. Cen.,Reims,"5,3",0,14,100 %
,,,,,,
Polomat Pierre-Yves,Def. Lat.,Saint-Étienne,"5,2",0,14,29 %
,,,,,,
Aguilar Ruben,Def. Lat.,Montpellier,"5,3",1,14,76 %
,,,,,,
Said Wesley,Attaquant,Dijon,"4,8",4,14,66 %
,,,,,,
Golovin Aleksandr,Mil. Off,Monaco,"4,9",3,14,71 %
,,,,,,
Caleta-Car Duje,Def. Cen.,Marseille,"5,2",0,14,45 %
,,,,,,
Kone Youssouf,Def. Lat.,Lille,"5,4",0,14,50 %
,,,,,,
Briancon Anthony,Def. Cen.,Nîmes,"5,1",2,14,87 %
,,,,,,
Bobichon Antonin,Mil. Off,Nîmes,"5,2",7,14,63 %
,,,,,,
Jonathan Ikone,Mil. Off,Lille,5,3,14,89 %
,,,,,,
Mendy Ferland,Def. Lat.,Lyon,"5,2",2,14,71 %
,,,,,,
Sangaré Ibrahim,Mil. Def.,Toulouse,"5,4",1,14,71 %
,,,,,,
Eboa Eboa Félix,Def. Cen.,Guingamp,5,3,14,71 %
,,,,,,
Mothiba Lebo,Attaquant,Strasbourg,"4,9",10,14,55 %
,,,,,,
Moutoussamy Samuel,Mil. Def.,Nantes,"4,9",2,14,50 %
,,,,,,
Saliba William,Def. Cen.,Saint-Étienne,"5,3",0,14,34 %
,,,,,,
Buffon Gianluigi,Gardien,Paris,"5,6",0,13,45 %
,,,,,,
Mangani Thomas,Mil. Def.,Angers,"4,9",3,13,47 %
,,,,,,
Briand Jimmy,Attaquant,Bordeaux,"4,8",7,13,74 %
,,,,,,
Congré Daniel,Def. Cen.,Montpellier,"5,1",2,13,97 %
,,,,,,
Pieters Erik,Def. Lat.,Amiens,"5,2",1,13,37 %
,,,,,,
Thomas Romain,Def. Cen.,Angers,"5,2",2,13,71 %
,,,,,,
Kolodziejczak Timothée,Def. Lat.,Saint-Étienne,"5,2",3,13,92 %
,,,,,,
Bamba Abdoulaye,Def. Lat.,Angers,"5,1",0,13,76 %
,,,,,,
Gonçalves Anthony,Mil. Def.,Strasbourg,"5,3",5,13,32 %
,,,,,,
Hamouma Romain,Mil. Off,Saint-Étienne,"5,2",4,13,50 %
